As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Darwin,,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Yuendumu - Anmatjere,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,,3
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Barkly,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,4
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,6
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,4
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,,2
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Thamarrurr,2
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tiwi Islands,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,1
1/11/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Alice Springs,,45
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Darwin,,72
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Katherine,,21
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Nhulunbuy,,3
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Barkly,2
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,East Arnhem,10
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Elsey,2
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Gulf,5
1/11/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Howard Springs,9
